genetics_bool,genetic_sd,slot_duration,start_abdominal,timestep,simultaneous_fixation,clutch_m,clutch_sd,noise_sd,n_embryos,smallest_n,total_clutches,chisquare,chi_pvalue,pearsonsR,Rsquared,pear_pvalue
True,5,15,42,2,False,10,6,20,780,7,76,3.69759450172,0.717521635261,0.983593714546,0.967456595294,0.0
False,0,30,42,2,False,10,6,20,593,16,53,1.42598187311,0.964258857315,0.987666634845,0.975485381587,0.0
False,0,15,42,2,False,10,6,20,722,8,72,1.08333333333,0.982255076943,0.9860443085,0.972283378326,0.0
False,0,60,42,2,False,10,6,20,725,44,75,2.16135881104,0.904276207273,0.98334640328,0.966970148843,0.0
False,0,60,42,2,False,10,6,20,656,41,67,1.70352941176,0.94484846611,0.985290957064,0.970798270073,0.0
True,5,15,42,2,False,10,6,20,879,11,85,4.3056768559,0.63538500979,0.982190367083,0.964697917191,0.0
True,5,120,42,2,False,10,6,20,650,96,70,2.15071283096,0.905328653398,0.965520785159,0.932230386575,0.0
False,0,60,42,2,False,10,6,20,776,51,74,2.94074074074,0.816246924225,0.986545757722,0.973272532078,0.0
False,0,30,42,2,True,10,6,20,694,2,76,1.33333333333,0.969787891506,0.985602226743,0.97141174936,0.0
True,10,30,42,2,False,10,6,20,813,19,79,5.20207253886,0.518169457111,0.970112939785,0.941119115938,0.0
True,10,60,42,2,False,10,6,20,804,52,77,2.60115606936,0.856979353143,0.95954260674,0.920722014149,0.0
True,5,60,42,2,True,10,6,20,631,9,68,3.72043010753,0.714448328176,0.980243907986,0.960878119144,0.0
False,0,60,42,2,True,10,6,20,703,15,69,0.545454545455,0.997240589186,0.982993926783,0.966277060093,0.0
True,10,60,42,2,False,10,6,20,654,45,63,9.99139784946,0.125014742437,0.954865407025,0.911767945534,0.0
False,0,15,42,2,False,10,6,20,540,5,59,6.78301886792,0.341380560068,0.986811769027,0.973797467491,0.0
False,0,60,42,2,False,10,6,20,618,35,57,1.05149051491,0.983584834539,0.984453976586,0.969149632017,0.0
True,10,60,42,2,True,10,6,20,651,12,63,5.38053097345,0.49601209855,0.956816851137,0.915498486619,0.0
